Star_na             [Fe/H]        Vphi        err_vphi      [C/Fe]
53446-2096-260     -2.06400     -5.14000      48.7900     0.225000
53467-2103-479     -2.08600     -143.730      87.8600     0.503000
53820-2118-323     -2.05900      47.3700      85.5300      1.07500
53859-2127-105     -2.01100      101.510      40.0000     0.208000
53494-2136-410     -2.04100      77.7600      77.9100     0.291000
54208-2142-630     -2.11900      99.1300      24.5800     0.197000
54526-2148-632     -2.23200     -232.600      105.190     0.921000
54525-2156-021     -2.29900     -199.180      84.5000     0.640000
54207-2162-324     -2.26900     -206.330      92.5400     0.647000
53823-2163-137     -2.00900     -156.120      73.9500     0.718000
54232-2166-114     -2.24000     -6.31000      66.1800   -0.0450000
54232-2166-615     -2.38400      27.9100      70.1300      1.24400
53889-2167-368     -2.27600     -275.350      92.9900      1.40200
54595-2188-355     -2.31800     -6.05000      51.6400      1.47000
53556-2199-206     -2.06200      100.480      45.8200     0.257000
53875-2200-240     -2.05000      233.260      85.6000     0.801000
53875-2200-361     -2.05800      71.3800      74.0400     0.680000
53566-2202-537     -2.83600     -305.680      77.6300      2.73700
53793-2205-018     -2.03000     -50.0100      56.6200     0.386000
53793-2205-324     -2.20700      120.890      14.6500    -0.224000
53907-2209-540     -2.30200      195.170      20.6100     0.328000
53794-2214-070     -2.19600     -181.710      83.1300     0.595000
53816-2219-047     -2.50000     -110.660      82.7200      2.21500
53795-2220-354     -2.02400      100.980      100.860      1.10300
53815-2224-012     -2.31300     -303.280      118.070      1.89000
53816-2231-571     -2.21100      14.7900      88.9900     0.345000
53816-2231-636     -2.21700     -248.690      103.350      2.05700
53828-2237-185     -2.24200      123.910      67.3200     0.555000
53726-2239-640     -2.04800      129.580      50.2200      1.59500
53767-2246-238     -2.16100     -98.2900      81.1500     0.640000
53679-2266-202     -2.07700     -246.620      155.110     0.838000
53713-2267-549     -2.29600     -125.220      131.400     0.517000
53683-2282-371     -2.07500      7.79000      116.870    0.0170000
53742-2342-234     -2.55100     -303.140      127.980      2.30100
53734-2349-483     -2.22700      15.4400      62.0700     0.548000
53793-2357-043     -2.49500     -24.0600      95.3100      1.44900
53765-2374-215     -2.24700      38.9200      79.7000     0.480000
54096-2422-590     -2.50700     -111.900      76.8600      2.05000
53848-2437-060     -2.17200     -57.1100      77.0500     0.187000
53795-2439-640     -2.18300      75.3500      73.0400     0.327000
54086-2481-357     -2.10100     -7.77000      43.7400      1.27300
53852-2483-409     -2.47300      83.9600      60.5200      1.79200
53876-2486-095     -2.22300     -195.900      100.880     0.300000
